,companyName,addr,postCode,tel,fax,products,foundTime,workerNum,district
21,南京创通管业有限公司,：作厂社区纬三路12号,：211132,：025-84177515,：025-84176199,：不锈钢管件制造,：2003年12月,：52,江苏省南京市江宁区
22,南京达来纸制品厂,：航金大道6号,：211156,：025-86194836,：025-86198926,"：纸护角加工,纸托盘加工,纸管生产",：2002年03月,：40,江苏省南京市江宁区
23,南京达缘纺织制品有限公司,：上坊街道新润路1号,：211103,：025-52705698,：025-52705236,：针织面料服装面料加工销售及进出口业务,：2004年05月,：21,江苏省南京市江宁区
24,南京大恩机电有限公司,：城北路27号,：211100,：025-86182065,：025-86182067,"：打包带生产,滚筒洗衣机的内桶加工",：2004年05月,：53,江苏省南京市江宁区
25,南京大华体育用品有限公司,：新杨,：211155,：025-86165665,：025-86165669,：羽毛球生产,：1999年10月,：60,江苏省南京市江宁区
26,南京大康包装有限公司,：南京市江宁区湖熟街道龙都集镇,：211126,：025-52495553,：025-52495657,：纸箱,：2003年07月,：42,江苏省南京市江宁区
27,南京道鹭建设材料厂,：南京市江宁区东山街道中前社区,：211103,：025-52183905,：025-52281667,：混凝土增强剂,：1995年06月,：299,江苏省南京市江宁区
28,南京德成彩钢结构有限公司,：甘西,：211151,：025-52731111,：025-58401998,"：彩钢板生产,钢结构加工制作",：2004年05月,：16,江苏省南京市江宁区
29,南京德锴建筑机械有限公司,：科苑路兴民工业园,：211100,：025-52168323,：025-52168456,"：工程结构生产,金属构件",：2003年06月,：82,江苏省南京市江宁区
30,南京东百电子有限公司,：西门子路88号,：211100,：025-52768135,：025-52768132,：洗衣机主扳生产,：2006年07月,：90,江苏省南京市江宁区
31,南京东诚时装有限公司,：南京市江宁区禄口街道曹村,：211156,：025-86190416,：025-86199673,：服装制造,：2006年12月,：168,江苏省南京市江宁区
32,南京东和橡胶机械有限公司,：南京市江宁区禄口街道燕湖路,：211113,：025-85762363,：025-85762230,"：硫化机制造,裁断机制作,除尘机制造",：2003年11月,：15,江苏省南京市江宁区
33,南京东恒计量实业有限公司,：东山街道上坊社区,：211100,：025-66602800,：025-66602811,：电子秤生产销售,：2003年09月,：70,江苏省南京市江宁区
34,南京东骏机械有限公司,：南京市江宁区湖熟街道耀华社区,：211121,：025-52690830,：025-52692988,：机床类部件制造,：2004年10月,：70,江苏省南京市江宁区
35,南京东浪机电制造有限公司,：汤山工业集中区汤山片区,：211132,：025-84179888,：025-84179188,：洗衣机配件生产,：2004年07月,：97,江苏省南京市江宁区
36,南京东吴金属制品有限公司,：横溪,：211155,：025-86163556,：025-86161890,：弹簧钢丝生产,：1997年06月,：40,江苏省南京市江宁区
37,南京敦豪橡塑机械制造有限公司,：万安西路75号,：211103,：025-52701211,：025-51190060,：机械五金生产,：2004年11月,：50,江苏省南京市江宁区
38,南京飞友制钉有限公司,：荆刘社区后勤部,：211164,：025-86733086,：025-86733079,：卷钉制造,：2006年06月,：30,江苏省南京市江宁区
39,南京福润德动物药业有限公司,：下墟社区铺岗街388号,：210007,：025-84273881,：025-84273881,：动物药生产,：1999年03月,：102,江苏省南京市江宁区
40,南京盖因特机电有限责任公司,：宝山路28号,：211135,：025-84121187,：025-84121196,：塑料加工机械,：2002年03月,：113,江苏省南京市江宁区
41,南京谷里五金厂,：金谷北街169号,：211164,：025-86130664,：025-86132911,：汽车零部件,：1990年09月,：151,江苏省南京市江宁区
42,南京光亮炉业有限公司,：东山街道高桥社区,：211103,：025-84860728,：025-52706728,：工业用加热设备生产,：2000年07月,：26,江苏省南京市江宁区
43,南京光明塑料模具厂,：汤山,：211134,：025-84140528,：025-84143270,：塑料制品生产,：1996年10月,：40,江苏省南京市江宁区
44,南京国际船舶设备配件有限公司,：江苏省南京市江宁区湖熟街道灵顺北路276号,：211121,：025-52693556,：025-52690499,"：气阀,阀座,导套",：1989年04月,：178,江苏省南京市江宁区
45,南京国强紧固件制造有限公司,：汤山,：211134,：025-84144226,：025-84144326,：紧固件制造,：2004年09月,：50,江苏省南京市江宁区
46,南京国荣灯具制造有限公司,：汤山工业集中区汤山片区,：211132,：025-84177336,：025-84177339,：灯具生产,：2004年04月,：30,江苏省南京市江宁区
47,南京海宏炉料有限责任公司,：天然,：211162,：025-86123888,：025-86123186,"：生铁,炼铁",：2001年12月,：240,江苏省南京市江宁区
48,南京海之丰包装有限公司,：红旗,：211155,：025-86162688,：025-86162688,"：木包装箱生产,泡沫包装箱生产",：2003年05月,：92,江苏省南京市江宁区
49,南京汉华复合材料有限公司,：麒麟,：211135,：025-84126114,：025-84126114,：玻璃钢符合材料,：1997年10月,：23,江苏省南京市江宁区
50,南京好佳针织有限公司,：江宁,：211161,：025-86100611,：025-86703312,：镀锌加工,：2005年11月,：160,江苏省南京市江宁区
51,南京禾嘉牧业有限公司,：锁石,：211135,：025-84191117,：025-84192158,"：预混料,浓缩料,配合料",：1999年07月,：50,江苏省南京市江宁区
52,南京和仁昌光电子有限公司,：秣陵殷巷工业园内,：211102,：025-52720632,：025-52722651,：手机用背冲板生产,：2003年07月,：99,江苏省南京市江宁区
53,南京恒建混凝土有限公司,：汤山,：211131,：025-84113790,：025-84113790,：混凝土预制件生产,：2006年12月,：132,江苏省南京市江宁区
54,南京弘大体育用品有限公司,：新杨,：211155,：025-86160856,：025-86161238,：羽毛球生产,：1998年07月,：64,江苏省南京市江宁区
55,南京弘盛木业有限公司,：江苏省南京江宁区秣陵街道望远路6号,：211111,：025-52750656,：025-52757521,"：生产复合地板,移门生产",：2006年04月,：54,江苏省南京市江宁区
56,南京弘腾磨料磨具有限公司,：汤山工业园,：211134,：025-84144001,：025-84144003,：磨具磨料生产,：2004年07月,：95,江苏省南京市江宁区
57,南京弘益油脂有限公司,：南京市江宁区湖熟街道宝塔北路,：211121,：025-52281432,：025-52280218,：菜油加工,：2003年05月,：80,江苏省南京市江宁区
58,南京宏力输送带厂,：新兴,：211124,：025-84153798,：025-84153082,：输送带制造,：2004年11月,：73,江苏省南京市江宁区
59,南京宏祥带钢有限公司,：丹阳村,：211157,：025-86150538,：025-86150538,：冷钆带钢生产,：2001年06月,：40,江苏省南京市江宁区
60,南京华创包装机械设备有限公司,：高桥工业开发区市井路1号,：211103,：025-52707059,：025-84230520,"：输瓶机生产,输箱机生产",：2006年12月,：57,江苏省南京市江宁区
61,南京华鼎电子有限公司,：汤泉西路53号,：211131,：025-84107685,：025-84107684,"：发光二极管,数码管",：1993年02月,：843,江苏省南京市江宁区
62,南京华松纸业有限公司,：横溪街道陶吴社区,：211151,：025-58850781,：025-58852440,"：离型纸生产,纸及纸制品、纸浆,包装材料",：2008年01月,：20,江苏省南京市江宁区
63,南京华翔金属热处理厂,：南京市江宁区禄口街道铜山,：211156,：025-2147483647,：025-86195773,：加工高速公路材料,：2004年05月,：28,江苏省南京市江宁区
64,南京华兴压力容器制造有限公司,：汤山,：211134,：025-84143169,：025-84143356,"：压力容器,非标产品",：2002年12月,：55,江苏省南京市江宁区
65,南京辉虎环保科技有限公司,：天元中路118号,：211100,：025-52106567,：025-52108834,"：机电车辆尾气净化装置生产,机动车辆配件",：2000年08月,：53,江苏省南京市江宁区
66,南京吉马新型材料有限公司,：南京市江宁区禄口街道华商园,：211113,：025-52730166,：025-52730199,：PHC制造,：2003年10月,：240,江苏省南京市江宁区
67,南京吉顺冶金设备有限公司,：华商科技园,：211113,：025-58800747,：025-58819463,：冶金设备制造,：2008年01月,：38,江苏省南京市江宁区
68,南京集新重型机械有限公司,：南京市江宁区禄口街道纬七路,：211113,：025-52772108,：025-52772100,：机械制造,：2004年07月,：45,江苏省南京市江宁区
69,南京加裕印花有限公司,：江苏省南京市江宁区秣陵街道殷巷社区清水亭西路9号,：211102,：025-52414293,：025-52454431,"：面料的印染加工,服装的设计生产加工销售,销售生产产品",：2001年01月,：56,江苏省南京市江宁区
70,南京佳吉化工有限公司,：南山湖,：211162,：025-86123275,：025-86123275,：磺酸钠生产,：2004年11月,：20,江苏省南京市江宁区
71,南京佳音木业有限责任公司,：江苏省南京市江宁区禄口街道成功社区,：211113,：025-52776236,：025-52776236,：木制品加工,：2001年11月,：23,江苏省南京市江宁区
72,南京家具总厂有限责任公司,：汤山,：211134,：025-84146909,：025-84146393,：门窗生产销售安装,：1990年11月,：73,江苏省南京市江宁区
73,南京嘉伟混凝土有限公司,：东山街道上坊科技园区内新润路27号,：211100,：025-52704567,：025-52704567,"：预拌高品混凝土施工,普通货运",：2006年01月,：150,江苏省南京市江宁区
74,南京建纺实业有限公司,：东山街道上坊社区万安东路88号,：211101,：025-86830086,：025-86830011,：服装生产,：2004年01月,：600,江苏省南京市江宁区
75,南京健康春成纸箱有限责任公司,：彤天路188号,：211100,：025-52168927,：025-52168928,"：纸箱制造,瓦楞纸板",：2001年03月,：140,江苏省南京市江宁区
76,南京江大服饰有限公司,：江西,：211163,：025-86142800,：025-86140125,：服装生产,：1997年01月,：685,江苏省南京市江宁区
77,南京江东机械模型厂,：东山街道上坊陈陵路59号,：210036,：025-86617863,：025-86524839,：机械模具,：2000年09月,：50,江苏省南京市江宁区
78,南京江南机械厂液压油缸分厂,：淳化,：211122,：025-52290375,：025-52290375,：机械零配件加工,：1991年01月,：61,江苏省南京市江宁区
79,南京江宁金属铸管厂,：南京市江宁区禄口街道铜山,：211156,：025-2147483647,：025-86194698,"：铸铁管制造,磁性材料制造",：1993年12月,：90,江苏省南京市江宁区
80,南京江宁汽车配件厂,：临川街,：211122,：025-52290101,：025-52291373,：汽车配件,：1998年10月,：61,江苏省南京市江宁区
81,南京江宁区秦城化工厂,：横溪街道丹阳村,：211157,：025-86150517,：025-86153728,：铝钆制油生产,：1992年03月,：34,江苏省南京市江宁区
82,南京胶带有限公司,：土桥社区,：211124,：025-84153298,：025-84153518,"：全塑整芯阻燃带制造,橡胶运输带制造",：1982年03月,：146,江苏省南京市江宁区
83,南京杰曼绑扎件制造有限公司,：湖熟工业集中区,：211121,：025-52692927,：025-52692385,"：钮锁,绑扎杆",：1998年09月,：85,江苏省南京市江宁区
84,南京杰瑞特光源有限公司,：江苏省南京市江宁区秣陵街道殷巷社区清水亭西路9号,：211102,：025-52722286,：025-52723872,：电源产品生产,：2001年04月,：72,江苏省南京市江宁区
85,南京捷胜达电子有限公司,：将军大道石马工业园6-1号,：211100,：025-52105793,：025-52108642,：光电子元件及其它电子器件生产,：2001年09月,：31,江苏省南京市江宁区
86,南京金邦冷弯型钢实业有限公司,：江宁,：211163,：025-86106881,：025-86725300,：冷弯型钢产品,：2003年06月,：85,江苏省南京市江宁区
87,南京金城精密机械有限公司,：南京市江宁区湖熟街道工业集中区,：211121,：025-53690884,：025-52690665,：压铸件制造,：1933年11月,：113,江苏省南京市江宁区
88,南京金城塑胶有限公司,：湖熟街道工业集中区,：211121,：025-52695098,：025-52690642,：生产摩托车塑料配件,：1997年12月,：48,江苏省南京市江宁区
89,南京金东亚办公设备有限公司,：青龙,：211123,：025-2147483647,：025-52411506,：双面刨花板制造,：1996年04月,：48,江苏省南京市江宁区
90,南京金荷花农产品开发有限公司,：南京市江宁区禄口街道曹村,：211156,：025-86199486,：025-86199486,"：水产品、海鲜加工,水产品海鲜等销售",：2007年08月,：12,江苏省南京市江宁区
91,南京金江水泥厂,：江宁,：211161,：025-86725976,：025-86722678,"：普硅水泥,外加剂",：1998年10月,：323,江苏省南京市江宁区
92,南京精工凹印制版有限公司,：利源南路55号,：211100,：025-52782465,：025-52782635,：凹印版车昆生产,：2002年03月,：102,江苏省南京市江宁区
93,南京巨威机械制造有限公司,：南京市江宁区湖熟街道周岗社区,：211125,：025-84165590,：025-84165588,：剪、折机床制造,：2000年03月,：82,江苏省南京市江宁区
94,南京俊伟印刷包装有限公司,：东山街道龙西社区管村桥东路2号,：211100,：025-52102258,：025-52102038,：纸质包装,：2001年09月,：30,江苏省南京市江宁区
95,南京开欣工艺品有限公司,：淳化,：211124,：025-84150468,：025-84153568,：毛绒玩具制造,：2003年10月,：80,江苏省南京市江宁区
96,南京开元轧钢有限公司,：江宁,：211161,：025-86104524,：025-86104524,：冷轧带钢生产,：2002年05月,：10,江苏省南京市江宁区
97,南京凯因特包装制品有限公司,：锁石村新庄大堰工业集中区,：211135,：025-84192076,：025-84192075,：木质托盘生产,：2006年03月,：37,江苏省南京市江宁区
98,南京康美工艺品厂,：西岗,：211157,：025-86153128,：025-86152128,：工艺鞋生产,：2004年06月,：40,江苏省南京市江宁区
99,南京科宝科技有限公司,：陶吴,：211151,：025-52735272,：025-52738281,：二极管生产,：2004年09月,：98,江苏省南京市江宁区
100,南京科创电器有限公司,：东山街道上坊万安西路70号,：211103,：025-52702266,：025-52281220,"：风扇,取暖器",：2002年11月,：170,江苏省南京市江宁区
101,南京科思化学有限公司,：新铜,：211162,：025-86123777,：025-86123998,"：茶工业园生产,SAZP生产",：2000年03月,：140,江苏省南京市江宁区
102,南京科雄工贸有限公司,：新兴,：210007,：025-84274689,：025-84275922,"：办公家具制造,实验市家具制造",：2002年04月,：90,江苏省南京市江宁区
103,南京可荣威饲料有限公司,：汤山工业集中区上峰工业区,：211134,：025-84144009,：025-84144008,：猪饲料,：2005年06月,：45,江苏省南京市江宁区
104,南京肯特新材料有限公司,：南山湖,：211162,：025-86125888,：025-84574079,"：绝缘体生产,阀座生产",：2005年03月,：70,江苏省南京市江宁区
105,南京坤辉包装材料有限公司,：东山街道上坊社区新润路12号,：211103,：025-52705760,：NJKUNHUI@126.COM,：胶带生产,：2007年02月,：22,江苏省南京市江宁区
106,南京昆仑化学有限责任公司,：章村石羊路6号,：211100,：025-86180872,：025-86181171,：金属表明处理剂,：2000年04月,：50,江苏省南京市江宁区
107,南京昆元白水泥厂,：汤山,：211133,：025-84110131,：025-84110131,：白水泥制造,：2001年05月,：80,江苏省南京市江宁区
108,南京兰叶混凝土有限公司,：东山街道龙西工业园,：211101,：025-52123266,：025-52107818,：混凝土制造运输销售,：2002年12月,：298,江苏省南京市江宁区
109,南京蓝普思光电有限公司,：江苏省南京市江宁区秣陵街道秦淮社区将军大道6号,：211100,：025-52110558,：025-52140883,：电光源制造（荧光灯）,：1999年10月,：140,江苏省南京市江宁区
110,南京朗得科技有限公司,：麒麟工业集中区,：211135,：025-85339911,：025-84195316,"：红外光幕,数码液晶,各种电梯配件及相关产品及技术服务",：1999年08月,：26,江苏省南京市江宁区
111,南京浪花塑业有限公司,：东山街道上坊社区中下村,：211103,：025-52703687,：025-52703687,：塑料、纸塑复合包装,：2007年03月,：80,江苏省南京市江宁区
112,南京利佰嘉电力器材有限公司,：湖熟工业集中区,：211121,：025-52696708,：025-52696709,：烤炉配件,：2004年09月,：61,江苏省南京市江宁区
113,南京利华工程塑料有限公司,：南京市江宁区禄口街道纬七路,：211113,：025-2147483647,：025-52777066,：改性PA6,：2000年07月,：88,江苏省南京市江宁区
114,南京利源电子有限公司,：新杨,：211155,：025-52104024,：025-52104331,"：点活线生产,电活配件销售",：1995年12月,：18,江苏省南京市江宁区
115,南京流进机械设备有限公司,：燕湖路,：211113,：025-85763215,：025-85763515,"：生产轮胎机械设备,冷暖设备及配套服务,销售自产产品",：2002年12月,：40,江苏省南京市江宁区
116,南京龙超金属工艺品厂,：高桥社区龙超路38号,：211103,：025-52707306,：025-52707305,：金属铸造,：2001年10月,：33,江苏省南京市江宁区
117,南京龙海机械设备制造有限公司,：江苏省南京市江宁区秣陵街道双金社区,：211111,：025-52751166,：025-52751428,：机械设备制造,：1999年11月,：60,江苏省南京市江宁区
118,南京隆丰纺织品有限公司,：陶吴,：211155,：025-52739830,：025-52736899,"：羽绒及制品,服装,床上用品",：2007年04月,：200,江苏省南京市江宁区
119,南京禄口国际机场汉莎食品有限公司,：南京市江宁区禄口国际机场,：210006,：025-52480785,：025-52480800,：生产航空食品和机上配餐,：1998年10月,：124,江苏省南京市江宁区
120,南京禄口起重机械有限公司,：南京市江宁区禄口街道,：211113,：025-52771222,：025-52770679,：电动葫芦,：2000年12月,：130,江苏省南京市江宁区
121,南京禄口特种预制品有限公司,：江苏省南京市江宁区禄口街道成功社区,：211113,：025-52770388,：025-52770538,：水泥预制物件制造零售,：2002年07月,：77,江苏省南京市江宁区
122,南京明顺服装厂,：宁桥北路125号,：211161,：025-86714598,：025-86104467,：棉衣生产,：2000年01月,：75,江苏省南京市江宁区
123,南京模亚特克电子有限公司,：江苏省南京市江宁区秣陵街道湖滨社区顺泰街66号,：211100,：025-52120072,：025-52120157,：电子元器件生产,：2004年05月,：58,江苏省南京市江宁区
124,南京宁阪特殊合金有限公司,：片峰路39号,：211134,：025-84141888,：025-84141033,"：一般铁合金,特殊铁合金",：1995年12月,：81,江苏省南京市江宁区
125,南京宁虹达电力设备有限公司,：百家湖工业园B区14栋,：211102,：025-84271023,：025-84271023,"：高低压开关柜制造,申气工程安装维修",：2007年12月,：15,江苏省南京市江宁区
126,南京宁沪甾体科技发展有限公司,：南京市江宁区禄口街道铜山,：211113,：025-86192558,：025-86194558,"：孕酮酯制造,重排制造",：2003年12月,：28,江苏省南京市江宁区
127,南京宁梅针织服装厂,：梅府,：211161,：025-86100873,：025-86100873,"：针织服装,编织袋",：2000年11月,：102,江苏省南京市江宁区
128,南京宁容钢桶封闭器厂,：金谷北街168号,：211164,：025-86130664,：025-86130664,：钢桶封闭器,：1981年12月,：121,江苏省南京市江宁区
129,南京农牧机械厂,：工业集中区,：211164,：025-86613505,：025-86535617,：种子加工设备,：1959年12月,：52,江苏省南京市江宁区
130,南京派格斯游乐设备有限公司,：南京市江宁区禄口街道蓝天路,：211113,：025-52776299,：025-52776288,：游乐设备制造,：2003年07月,：192,江苏省南京市江宁区
131,南京鹏浩高服饰有限公司,：江苏省南京江宁区秣陵街道工业园,：211111,：025-52758299,：025-52758118,"：针织袜,针纺织品,服饰",：2003年06月,：74,江苏省南京市江宁区
132,南京鹏顺机械制造有限公司,：南京市江宁区禄口街道小彭社区,：211156,：025-86191345,：025-86199205,"：机械制造加工,电机轴",：2004年06月,：98,江苏省南京市江宁区
133,南京鹏万达照明有限公司,：江宁区文靖路文华街88号,：211100,：025-51191801,：025-51191133,：道路灯具生产,：1995年06月,：56,江苏省南京市江宁区
134,南京麒麟电镀有限责任公司,：汤山,：211135,：025-84128845,：025-84128845,：金属表面电镀生产,：1973年07月,：126,江苏省南京市江宁区
135,南京青龙线缆材料有限公司,：青龙,：211122,：025-52296989,：025-52296979,：电缆材料制造,：2003年07月,：57,江苏省南京市江宁区
136,南京求精机械厂,：铺岗377号,：211102,：025-52721513,：025-52728339,：机床机械配件加工,：1991年10月,：60,江苏省南京市江宁区
137,南京群峰复合材料有限公司,：河西,：211163,：025-86143209,：025-86143209,：复合蜡生产,：2007年05月,：30,江苏省南京市江宁区
138,南京日日升金属材料有限公司,：汤峰路100号,：211134,：025-84140532,：025-84143580,：石墨生产,：2003年02月,：6,江苏省南京市江宁区
139,南京锐博工具有限责任公司,：东山街道龙西社区工业园188号,：211101,：025-52157849,：025-52121335,：电动工具制造,：2002年09月,：60,江苏省南京市江宁区
140,南京瑞丰塑业有限公司,：南京市江宁区禄口街道蓝天路,：211113,：025-52777508,：025-52777508,：PVC双壁波纹管,：2004年03月,：30,江苏省南京市江宁区
141,南京赛宝液压设备有限公司,：谷里工业园,：211164,：025-86134995,：NJSBYYSB@SOHU.COM,：荷载箱,：2001年12月,：43,江苏省南京市江宁区
142,南京赛尔机械有限公司,：湖熟工业集中区,：211121,：025-86402115,：025-86412930,：空气净化设备,：2003年04月,：30,江苏省南京市江宁区
143,南京三邦金属复合材料有限公司,：横溪,：211155,：025-86165002,：025-86165370,：钛镍铜不锈钢有色金属复合材料生产,：2003年06月,：104,江苏省南京市江宁区
144,南京三超金刚石工具有限公司,：柏树,：211124,：025-84154777,：025-84154558,：金刚石砂轮制造,：1999年01月,：55,江苏省南京市江宁区
145,南京三和管桩有限公司,：东山街道上坊科技园,：211100,：025-52705838,：025-52705838,：水泥管桩生产,：2002年04月,：497,江苏省南京市江宁区
146,南京三龙水泥有限责任公司,：青山,：211123,：025-52298588,：025-52298588,：水泥制造,：1973年05月,：1529,江苏省南京市江宁区
147,南京三龙新型建材有限公司,：东山街道上坊社区新润路29号,：211103,：025-52702078,：025-52702078,：预拌商品混凝土,：2003年06月,：262,江苏省南京市江宁区
148,南京山和轻工有限公司,：东旺社区,：211111,：025-52758377,：025-52757494,：箱包生产,：1997年01月,：342,江苏省南京市江宁区
149,南京山田服装水洗有限公司,：东山街道章村社区城北路8号,：211100,：025-86181428,：025-86181176,：服装水洗,：2001年06月,：80,江苏省南京市江宁区
150,南京上元工业气体厂,：东山街道上坊社区,：211103,：025-52702111,：025-52705008,：工业气体,：2001年03月,：55,江苏省南京市江宁区
151,南京上元容器制造有限公司,：东山街道永安社区上高线路段,：211003,：025-52705613,：LYLCH2004@SINA.COM,"：镀锌桶,烤漆桶",：2000年01月,：73,江苏省南京市江宁区
152,南京尚达电子绝缘材料有限公司,：清水亭西路2号,：211100,：025-52728001,：025-52728018,：电子产品绝缘材料,：2005年10月,：180,江苏省南京市江宁区
153,南京伸宏工艺品有限公司,：新兴,：211124,：025-84154002,：025-84154003,：木制品工艺制造,：2003年05月,：35,江苏省南京市江宁区
154,南京升斗机械工程有限公司,：东山街道天云南街86号,：211103,：025-52703758,：025-52703758,：金属热处理,：2003年05月,：73,江苏省南京市江宁区
155,南京胜腾铸造有限公司,：桑元,：211156,：025-86194767,：025-86194658,：铸铁件加工,：1997年05月,：60,江苏省南京市江宁区
156,南京胜威石油机械厂,：南京市江宁区铜山,：211156,：025-86194588,：025-86196642,：石油机械配件生产,：1989年05月,：69,江苏省南京市江宁区
157,南京圣乐雅针纺织品有限公司,：汤山工业集中区汤山片区,：211132,：025-84101701,：025-84101731,：针织品生产,：2000年11月,：160,江苏省南京市江宁区
158,南京晟川机械有限公司,：蓝天路,：211113,：025-52775055,：025-52776166,：齿轮制造,：2003年10月,：79,江苏省南京市江宁区
159,南京晟弘玻璃有限公司,：谷里,：211164,：025-86131981,：025-86131981,：玻璃加工,：2002年05月,：45,江苏省南京市江宁区
160,南京盛溪印刷包装有限公司,：淳化,：211122,：025-52293620,：025-52290095,：纸制品制造,：2001年09月,：287,江苏省南京市江宁区
161,南京市江宁区昌林摩托车配件厂,：新兴社区`,：211124,：025-84150869,：025-84150868,：摩托车零配件制造,：1995年07月,：79,江苏省南京市江宁区
162,南京市江宁区弘盛压铸制造有限公司,：南京市江宁区湖熟街道灵顺北路,：211124,：025-52690815,：025-52690815,：铝压铸,：2000年03月,：31,江苏省南京市江宁区
163,南京市江宁区湖熟金盛金属表面处理厂,：江苏省南京市江宁区湖熟街道河北社区,：211121,：025-52690940,：025-52692077,：热镀金属加工,：2002年03月,：35,江苏省南京市江宁区
164,南京市江宁区湖熟兴旺粮油面粉有限责任公司,：江苏省南京市江宁区湖熟街道河南社区,：211121,：025-52690413,：025-52691188,：塑料编织袋,：1998年03月,：17,江苏省南京市江宁区
165,南京市江宁区禄口机械厂,：南京市江宁区禄口街道信陵路399号,：211113,：025-52770692,：025-52770693,：合金生产,：1967年06月,：275,江苏省南京市江宁区
166,南京市江宁区禄口自来水厂,：南京市江宁区禄口街道,：211113,：025-52770597,：025-52770597,"：自来水生产,自来水工程施工",：1990年09月,：42,江苏省南京市江宁区
167,南京市江宁区梅龙化工有限公司,：江苏省南京市江宁区湖熟街道和进社区,：211121,：025-52694498,：025-52694498,：化学助剂制造、加工,：1999年07月,：25,江苏省南京市江宁区
168,南京市江宁区麒麟炼灰厂,：锁石,：211135,：025-84191941,：025-84191941,：石灰制造,：1990年07月,：57,江苏省南京市江宁区
169,南京市江宁区秦新化工有限公司,：茶岗,：211124,：025-84153950,：025-84154850,：邻苯二甲酸二辛酯制造,：2000年05月,：22,江苏省南京市江宁区
170,南京市江宁区上峰宏达塑胶电器厂,：汤山街道,：211134,：025-84140969,：025-84140969,：塑料件制造,：1995年09月,：112,江苏省南京市江宁区
171,南京市江宁区汤山石英砂厂,：龙尚,：211133,：025-84113018,：025-84113018,：石类沙,：1984年05月,：26,江苏省南京市江宁区
172,南京市江宁区讯业机械塑胶有限公司,：安民村古柏路3号,：211155,：025-86161196,：025-86161196,：聚乙烯电缆料生产,：2002年03月,：17,江苏省南京市江宁区
